timestamp,P_Bear,P_Sideways,P_Bull
2017-02-28 00:00:00+05:30,0.001599344069193629,0.9960575609744088,0.0023430949564094278
2017-03-31 00:00:00+05:30,0.0009987166554378164,0.9970357264558386,0.0019655568887212466
2017-04-30 00:00:00+05:30,0.001679761267224362,0.9970889782232822,0.0012312605094817284
2017-05-31 00:00:00+05:30,0.0007099846703378225,0.9972346761385662,0.002055339191102333
2017-06-30 00:00:00+05:30,0.005602488772582129,0.9935231577932007,0.0008743534342059003
2017-07-31 00:00:00+05:30,0.0008673230961139993,0.992658370934373,0.006474305969501132
2017-08-31 00:00:00+05:30,0.0014488175243147826,0.9975298026506744,0.0010213798250195126
2017-09-30 00:00:00+05:30,0.00470776981537946,0.9936737601015851,0.0016184700830380145
2017-10-31 00:00:00+05:30,0.0008837821076633965,0.9936215250613615,0.005494692830961597
2017-11-30 00:00:00+05:30,0.0021397423817378592,0.9968123116915265,0.0010479459267334378
2017-12-31 00:00:00+05:30,0.002435823050435527,0.9950911306194543,0.002473046330109056
2018-01-31 00:00:00+05:30,0.0007993623336744882,0.996193705623632,0.0030069320426873184
2018-02-28 00:00:00+05:30,0.0034609515863153525,0.9955720408042292,0.0009670076094601879
2018-03-31 00:00:00+05:30,0.013563510200228696,0.9828236397015695,0.003612850098214298
2018-04-30 00:00:00+05:30,0.0010834335286019937,0.9843594128488353,0.014557153622566672
2018-05-31 00:00:00+05:30,0.0009386951661458257,0.9977970343377198,0.0012642704961204287
2018-06-30 00:00:00+05:30,0.0050658775765376,0.993816545687402,0.001117576736052268
2018-07-31 00:00:00+05:30,0.0018492946652190847,0.9921577814279852,0.005992923906800001
2018-08-31 00:00:00+05:30,0.0008743105141351213,0.9969567766031366,0.0021689128827171904
2018-09-30 00:00:00+05:30,0.008125495581796484,0.9907942694058137,0.001080235012401948
2018-10-31 00:00:00+05:30,0.013359374447750899,0.9783509621077453,0.0082896634445156
2018-11-30 00:00:00+05:30,0.0008499787382824503,0.9852279838026532,0.013922037459069104
2018-12-31 00:00:00+05:30,0.0009409337543819176,0.9980296429692839,0.0010294232763313504
2019-01-31 00:00:00+05:30,0.0009697971458906676,0.9979127867285018,0.0011174161255966672
2019-02-28 00:00:00+05:30,0.011148902066206006,0.9877070947705315,0.0011440031632612968
2019-03-31 00:00:00+05:30,0.0018694806834378104,0.9849947004240681,0.013135818892484377
2019-04-30 00:00:00+05:30,0.0010749005280143262,0.9968404137102068,0.002084685761772005
2019-05-31 00:00:00+05:30,0.0007285197755043122,0.9979608262417307,0.0013106539827753986
2019-06-30 00:00:00+05:30,0.0012240736143943698,0.9978837368726362,0.0008921895129636024
2019-07-31 00:00:00+05:30,0.0055311638029068915,0.9930580994208109,0.001410736776268727
2019-08-31 00:00:00+05:30,0.0028511490087057717,0.9914514984182369,0.005697352573058624
2019-09-30 00:00:00+05:30,0.0017337034462306972,0.9949535329047925,0.003312763648982859
2019-10-31 00:00:00+05:30,0.0010229910618878711,0.996855484549907,0.0021215243881959594
2019-11-30 00:00:00+05:30,0.0009469912848836823,0.9977934123444815,0.001259596370628513
2019-12-31 00:00:00+05:30,0.0007429885764081311,0.9980969621831879,0.0011600492404039082
2020-01-31 00:00:00+05:30,2.5328084175130915e-05,0.9990728062132007,0.0009018657026101404
2020-02-29 00:00:00+05:30,0.0003738418105954559,0.9995974840114912,2.8674177921453175e-05
